iter	Passed	Remaining
0	2	296
1	8	425
2	14	484
3	19	469
4	23	450
5	26	421
6	30	399
7	33	384
8	37	374
9	40	364
10	47	384
11	54	398
12	57	383
13	59	367
14	65	369
15	68	358
16	71	351
17	74	341
18	78	333
19	81	326
20	89	335
21	92	327
22	110	369
23	112	357
24	115	345
25	118	336
26	121	327
27	123	317
28	128	315
29	133	310
30	135	301
31	140	298
32	142	289
33	148	288
34	153	284
35	156	277
36	158	270
37	161	263
38	164	256
39	167	250
40	170	245
41	173	239
42	175	232
43	178	227
44	180	221
45	184	216
46	187	210
47	189	204
48	191	199
49	193	193
50	195	187
51	197	182
52	199	177
53	202	172
54	204	167
55	206	162
56	208	157
57	211	153
58	213	148
59	215	143
60	217	139
61	220	134
62	222	130
63	224	126
64	226	121
65	228	117
66	230	113
67	232	109
68	234	105
69	237	101
70	239	97
71	241	93
72	243	90
73	245	86
74	247	82
75	248	78
76	252	75
77	254	71
78	257	68
79	259	64
80	261	61
81	263	57
82	265	54
83	267	50
84	269	47
85	271	44
86	273	40
87	275	37
88	277	34
89	279	31
90	281	27
91	284	24
92	285	21
93	287	18
94	290	15
95	292	12
96	295	9
97	298	6
98	302	3
99	304	0
